epoch,loss,val_loss,val_acc
0,0.575811984638373,0.6061884164810181,0.10625000298023224
1,0.5323289626588424,0.5616132616996765,0.11249999701976776
2,0.4079409819096327,0.3405837416648865,0.4312500059604645
3,0.2837468674406409,0.2920803129673004,0.606249988079071
4,0.210814008799692,0.21794362366199493,0.6812499761581421
5,0.15614278971528014,0.15189708769321442,0.824999988079071
6,0.11853030091151595,0.11044134944677353,0.956250011920929
7,0.09375524319087465,0.08913163840770721,0.987500011920929
8,0.07718840939924121,0.0773996040225029,0.987500011920929
9,0.06521268072538078,0.06742890924215317,0.987500011920929
10,0.05572227144148201,0.05985124036669731,0.987500011920929
11,0.048541559876563646,0.055988557636737823,0.987500011920929
12,0.043506344237054385,0.05320318415760994,0.987500011920929
13,0.039647316288513444,0.04953712224960327,0.987500011920929
14,0.03643906865424166,0.045429572463035583,0.987500011920929
15,0.0337110615024964,0.04211599752306938,0.987500011920929
16,0.0315242003222617,0.03970043733716011,0.9937499761581421
17,0.02980256957622866,0.03767498582601547,0.9937499761581421
18,0.028401990285298478,0.035908155143260956,0.9937499761581421
19,0.02722485443033899,0.03434855118393898,0.9937499761581421
