epoch,loss,val_loss,val_acc
0,0.570319696639975,0.586729884147644,0.08124999701976776
1,0.5674715389808019,0.5579391121864319,0.08124999701976776
2,0.4963914689918359,0.41848239302635193,0.3375000059604645
3,0.34471247407297295,0.2938619554042816,0.518750011920929
4,0.23281876804927984,0.209835022687912,0.78125
5,0.16514255804941058,0.15056076645851135,0.862500011920929
6,0.1230205250903964,0.11922057718038559,0.918749988079071
7,0.09649445628747344,0.10117568075656891,0.9624999761581421
8,0.07869751883360247,0.09051026403903961,0.9624999761581421
9,0.0654852765534694,0.08074459433555603,0.956250011920929
10,0.05590885415828476,0.06937962025403976,0.96875
11,0.048741597488212086,0.06258238106966019,0.96875
12,0.04340507291878263,0.05714339762926102,0.96875
13,0.039374722517095506,0.052637290209531784,0.9750000238418579
14,0.036191118764691055,0.04913149029016495,0.9750000238418579
15,0.033636386739090085,0.04654582962393761,0.9750000238418579
16,0.03153893844379733,0.0446888729929924,0.9750000238418579
17,0.029818980120277654,0.04325941950082779,0.9750000238418579
18,0.02839700732147321,0.04203912615776062,0.9750000238418579
19,0.02719786565285176,0.04092682898044586,0.9750000238418579
