epoch,loss,val_loss,val_acc
0,0.5763729500273863,0.5713198184967041,0.11249999701976776
1,0.5562549829483032,0.5443531274795532,0.11249999701976776
2,0.47265903155008954,0.39288175106048584,0.3375000059604645
3,0.3209288256863753,0.2609430253505707,0.643750011920929
4,0.22176018574585518,0.19645902514457703,0.7124999761581421
5,0.1593798118022581,0.15369912981987,0.824999988079071
6,0.11938165019576748,0.12084396928548813,0.9312499761581421
7,0.09214901799956958,0.09829117357730865,0.987500011920929
8,0.07335398904979229,0.08178270608186722,0.987500011920929
9,0.06072733256344994,0.07028615474700928,0.987500011920929
10,0.05200498729633788,0.0627245157957077,0.9937499761581421
11,0.04588947716789941,0.055809833109378815,0.9937499761581421
12,0.04154962192599972,0.04985110089182854,0.9937499761581421
13,0.03755441870695601,0.04633168876171112,0.9937499761581421
14,0.034205213868214436,0.04395943135023117,0.9937499761581421
15,0.03182308346731588,0.04206922650337219,0.9937499761581421
16,0.029949676381268848,0.04044422134757042,0.9937499761581421
17,0.028432302079939593,0.03888782113790512,1.0
18,0.02716644698133071,0.03735843300819397,1.0
19,0.026069658323346328,0.03588898479938507,1.0
