epoch,loss,val_loss,val_acc
0,0.5798077614357074,0.5547929406166077,0.13750000298023224
1,0.5741358728458484,0.505371630191803,0.13750000298023224
2,0.4819152317941189,0.37513846158981323,0.4749999940395355
3,0.32620378707846004,0.29352042078971863,0.6187499761581421
4,0.23134799984594187,0.21656644344329834,0.7124999761581421
5,0.16885957478856048,0.15742038190364838,0.856249988079071
6,0.12487889314070344,0.118935227394104,0.96875
7,0.09851255997394522,0.09693313390016556,0.987500011920929
8,0.08039913862012327,0.08141177892684937,0.987500011920929
9,0.06721279855507116,0.07099993526935577,0.987500011920929
10,0.05756927883097281,0.06458944082260132,0.987500011920929
11,0.050493949286950134,0.05880122259259224,0.987500011920929
12,0.04483788305272659,0.053253501653671265,0.987500011920929
13,0.04045262451594075,0.04887267202138901,0.987500011920929
14,0.03714939953836923,0.04588622599840164,0.987500011920929
15,0.03461193912274515,0.04405508190393448,0.9937499761581421
16,0.03250341138724858,0.04226584732532501,0.9937499761581421
17,0.030657640115047496,0.03998485952615738,0.9937499761581421
18,0.02905544260283932,0.03776846453547478,0.9937499761581421
19,0.02769088886755829,0.03590713441371918,0.9937499761581421
