,trade_date,open,high,close,low,vol,pct_chg
404,20210104,7.11,7.14,7.02,6.92,106225.2,-1.6807
403,20210105,7.02,7.09,7.07,6.92,96661.58,0.7123
402,20210106,7.05,7.06,6.85,6.85,81167.86,-3.1117
401,20210107,6.86,6.89,6.45,6.37,137981.44,-5.8394
400,20210108,6.4,6.95,6.74,6.32,163488.21,4.4961
399,20210111,6.67,7.01,6.76,6.64,116430.46,0.2967
398,20210112,6.7,6.97,6.79,6.66,89849.52,0.4438
397,20210113,6.74,6.93,6.83,6.62,102126.61,0.5891
396,20210114,6.8,7.51,7.51,6.79,254461.88,9.9561
395,20210115,7.54,8.18,7.84,7.38,415119.55,4.3941
394,20210118,7.58,8.15,7.8,7.41,261247.3,-0.5102
393,20210119,7.71,8.16,7.87,7.55,270570.78,0.8974
392,20210120,7.8,8.09,7.57,7.53,182163.11,-3.8119
391,20210121,7.56,7.74,7.53,7.4,154323.05,-0.5284
390,20210122,7.47,7.53,7.16,7.16,164468.29,-4.9137
389,20210125,7.12,7.14,6.85,6.82,112651.92,-4.3296
388,20210126,6.82,6.98,6.71,6.69,83559.41,-2.0438
387,20210127,6.75,6.86,6.67,6.66,80129.14,-0.5961
386,20210128,6.56,6.67,6.53,6.51,58051.28,-2.099
385,20210129,6.54,6.71,6.47,6.4,74252.59,-0.9188
384,20210201,6.47,6.66,6.57,6.45,66119.84,1.5456
383,20210202,6.55,6.85,6.69,6.55,89342.81,1.8265
382,20210203,6.72,6.76,6.42,6.39,74233.01,-4.0359
381,20210204,6.41,6.41,6.09,6.04,96232.44,-5.1402
380,20210205,6.1,6.27,6.11,6.07,56211.62,0.3284
379,20210208,6.16,6.19,6.06,6.04,48438.3,-0.8183
378,20210209,6.06,6.09,6.05,5.98,49730.43,-0.165
377,20210210,6.05,6.15,6.05,6.03,51754.73,0.0
376,20210218,6.1,6.37,6.28,6.08,80776.27,3.8017
375,20210219,6.29,6.64,6.6,6.26,93413.73,5.0955
374,20210222,6.61,6.88,6.75,6.6,112101.67,2.2727
373,20210223,6.75,6.8,6.54,6.51,79056.48,-3.1111
372,20210224,6.53,7.19,7.19,6.48,256930.95,9.9388
371,20210225,7.23,7.91,7.91,7.03,309382.27,10.0139
370,20210226,7.66,8.2,7.45,7.42,376902.58,-5.8154
369,20210301,7.36,7.62,7.51,7.21,218064.72,0.8054
368,20210302,7.4,7.69,7.35,7.3,179284.32,-2.1305
367,20210303,7.32,7.58,7.44,7.22,129869.54,1.2245
366,20210304,7.36,7.64,7.32,7.3,110332.03,-1.6129
365,20210305,7.29,7.39,7.35,7.23,85633.81,0.4098
364,20210308,7.36,7.58,7.43,7.32,107563.27,1.0884
363,20210309,7.4,7.5,7.28,7.01,100983.41,-2.0188
