,trade_date,open,high,close,low,vol,pct_chg
404,20210104,7.34,7.63,7.5,7.33,166238.93,2.1798
403,20210105,7.45,7.55,7.46,7.35,112296.93,-0.5333
402,20210106,7.46,7.6,7.17,7.13,171981.6,-3.8874
401,20210107,7.15,7.17,6.76,6.73,157412.2,-5.7183
400,20210108,6.74,6.84,6.69,6.54,108804.46,-1.0355
399,20210111,6.69,6.88,6.63,6.52,110837.79,-0.8969
398,20210112,6.63,6.73,6.59,6.52,72488.95,-0.6033
397,20210113,6.6,6.73,6.59,6.51,100322.01,0.0
396,20210114,6.55,6.62,6.44,6.43,89878.35,-2.2762
395,20210115,6.45,6.49,6.43,6.32,77387.75,-0.1553
394,20210118,6.43,6.49,6.43,6.4,69167.78,0.0
393,20210119,6.4,6.49,6.44,6.32,67367.21,0.1555
392,20210120,6.49,7.08,7.08,6.47,345712.64,9.9379
391,20210121,6.98,6.98,6.78,6.7,252245.53,-4.2373
390,20210122,6.72,6.87,6.82,6.67,138863.75,0.59
389,20210125,6.76,6.86,6.78,6.62,88218.6,-0.5865
388,20210126,6.72,6.79,6.72,6.65,67332.51,-0.885
387,20210127,6.74,6.8,6.73,6.65,43750.97,0.1488
386,20210128,6.7,6.7,6.58,6.38,97921.79,-2.2288
385,20210129,6.51,6.6,6.42,6.37,37099.0,-2.4316
384,20210201,6.41,6.43,6.31,6.14,53399.08,-1.7134
383,20210202,6.33,6.45,6.43,6.23,45515.93,1.9017
382,20210203,6.48,6.53,6.33,6.32,37285.8,-1.5552
381,20210204,6.28,6.34,6.16,6.11,51874.64,-2.6856
380,20210205,6.29,6.32,6.22,6.15,38415.7,0.974
379,20210208,6.22,6.28,6.22,6.14,45647.97,0.0
378,20210209,6.23,6.72,6.63,6.18,115319.2,6.5916
377,20210210,6.63,6.84,6.64,6.62,58560.2,0.1508
376,20210218,6.69,6.81,6.8,6.58,107576.6,2.4096
375,20210219,6.77,7.28,7.22,6.75,169576.45,6.1765
374,20210222,7.22,7.36,7.24,7.16,114950.22,0.277
373,20210223,7.16,7.36,7.3,7.13,104189.46,0.8287
372,20210224,7.27,7.41,7.25,7.15,85160.4,-0.6849
371,20210225,7.25,7.33,7.18,7.09,61567.96,-0.9655
370,20210226,7.0,7.16,6.84,6.84,96056.59,-4.7354
369,20210301,6.84,6.97,6.88,6.72,97475.0,0.5848
368,20210302,6.88,7.55,7.25,6.88,183107.36,5.3779
367,20210303,7.23,7.28,7.26,7.13,93406.44,0.1379
366,20210304,7.24,7.33,7.18,7.11,64685.19,-1.1019
365,20210305,7.1,7.5,7.43,7.07,95158.42,3.4819
364,20210308,7.46,7.62,7.5,7.39,117524.75,0.9421
363,20210309,7.5,7.51,7.22,7.09,85010.35,-3.7333
362,20210310,7.28,7.62,7.55,7.25,108200.7,4.5706
361,20210311,7.44,7.6,7.55,7.34,72867.55,0.0
360,20210312,7.54,7.6,7.42,7.35,55805.45,-1.7219
359,20210315,7.47,7.72,7.5,7.4,88619.31,1.0782
358,20210316,7.65,8.0,7.89,7.47,133160.94,5.2
357,20210317,7.97,8.14,7.9,7.81,91040.81,0.1267
356,20210318,7.89,8.02,7.84,7.72,73404.51,-0.7595
355,20210319,7.72,7.74,7.58,7.53,58944.58,-3.3163
354,20210322,7.53,7.7,7.63,7.48,44845.07,0.6596
353,20210323,7.65,7.71,7.44,7.42,76674.26,-2.4902
352,20210324,7.47,7.52,7.36,7.26,57188.41,-1.0753
351,20210325,7.36,7.39,7.3,7.17,34455.76,-0.8152
350,20210326,7.34,7.45,7.28,7.2,38534.21,-0.274
349,20210329,7.38,7.59,7.53,7.21,85933.08,3.4341
348,20210330,7.62,7.63,7.23,7.12,64833.5,-3.9841
347,20210331,7.3,7.54,7.45,7.17,73343.47,3.0429
346,20210401,7.45,7.59,7.45,7.38,40071.57,0.0
345,20210402,7.54,7.58,7.5,7.43,52449.15,0.6711
344,20210406,7.5,8.02,7.95,7.48,132619.58,6.0
343,20210407,7.95,8.07,7.96,7.84,75391.22,0.1258
342,20210408,8.02,8.03,7.77,7.72,67732.85,-2.3869
341,20210409,7.76,7.9,7.87,7.67,54375.97,1.287
340,20210412,7.92,7.96,7.85,7.7,57559.39,-0.2541
339,20210413,7.84,7.89,7.54,7.46,53689.31,-3.949
338,20210414,7.56,7.57,7.39,7.18,91926.93,-1.9894
337,20210415,7.35,7.44,7.43,7.19,52308.16,0.5413
336,20210416,7.48,7.68,7.49,7.41,61762.71,0.8075
