,trade_date,open,high,close,low,vol,pct_chg
404,20210104,5.94,5.94,5.9,5.82,162688.51,-0.6734
403,20210105,5.89,5.9,5.73,5.67,251532.3,-2.8814
402,20210106,5.74,5.89,5.8,5.65,174752.09,1.2216
401,20210107,5.81,5.81,5.59,5.53,205135.56,-3.6207
400,20210108,5.64,5.75,5.7,5.54,153570.95,1.9678
399,20210111,5.68,5.69,5.52,5.5,193609.04,-3.1579
398,20210112,5.56,5.6,5.51,5.5,134949.5,-0.1812
397,20210113,5.52,6.0,5.78,5.36,391704.38,4.9002
396,20210114,5.75,6.14,5.89,5.75,297745.58,1.9031
395,20210115,5.85,5.98,5.9,5.81,180200.5,0.1698
394,20210118,5.81,5.93,5.83,5.77,155710.81,-1.1864
393,20210119,5.8,6.34,6.18,5.76,430290.11,6.0034
392,20210120,6.18,6.2,6.01,6.0,210668.59,-2.7508
391,20210121,6.03,6.06,5.98,5.92,163573.9,-0.4992
390,20210122,6.0,6.0,5.85,5.82,145597.18,-2.1739
389,20210125,5.82,5.85,5.64,5.58,197049.76,-3.5897
388,20210126,5.6,5.74,5.64,5.56,98079.62,0.0
387,20210127,5.63,5.73,5.6,5.59,101874.86,-0.7092
386,20210128,5.57,5.63,5.56,5.52,100255.41,-0.7143
385,20210129,5.57,5.62,5.5,5.45,105423.13,-1.0791
384,20210201,5.5,5.7,5.67,5.47,117979.36,3.0909
383,20210202,5.65,5.77,5.62,5.62,89335.21,-0.8818
382,20210203,5.64,5.65,5.57,5.5,83262.55,-0.8897
381,20210204,5.55,5.6,5.56,5.52,88932.65,-0.1795
380,20210205,5.58,5.73,5.65,5.52,133171.6,1.6187
379,20210208,5.67,5.84,5.67,5.63,243371.91,0.354
378,20210209,5.64,5.67,5.65,5.58,136884.29,-0.3527
377,20210210,5.65,5.76,5.69,5.61,147692.33,0.708
376,20210218,5.71,5.83,5.81,5.69,263032.01,2.109
375,20210219,5.8,6.03,6.02,5.76,270164.24,3.6145
374,20210222,6.03,6.18,6.03,6.02,251337.96,0.1661
373,20210223,6.05,6.12,5.98,5.94,157332.88,-0.8292
372,20210224,5.98,6.06,6.01,5.91,158582.62,0.5017
371,20210225,6.01,6.43,6.2,6.01,425452.92,3.1614
370,20210226,6.09,6.24,6.06,6.03,242534.03,-2.2581
369,20210301,6.07,6.1,6.05,6.0,144667.1,-0.165
368,20210302,6.04,6.09,5.92,5.83,183507.32,-2.1488
367,20210303,5.9,6.04,6.02,5.86,140859.59,1.6892
366,20210304,6.01,6.04,5.96,5.93,108020.05,-0.9967
365,20210305,5.93,6.0,5.98,5.9,98850.42,0.3356
364,20210308,6.01,6.14,6.01,5.99,180306.31,0.5017
363,20210309,6.02,6.13,6.07,5.92,235403.31,0.9983
362,20210310,6.09,6.12,5.92,5.92,160845.82,-2.4712
361,20210311,5.9,6.15,6.09,5.89,216622.54,2.8716
360,20210312,6.08,6.23,6.2,6.05,291996.73,1.8062
359,20210315,6.2,6.34,6.22,6.13,191454.59,0.3226
358,20210316,6.27,6.3,6.29,6.18,153180.66,1.1254
357,20210317,6.27,6.4,6.36,6.24,210186.73,1.1129
356,20210318,6.36,6.37,6.27,6.24,145993.83,-1.4151
355,20210319,6.22,6.26,6.18,6.13,125116.56,-1.4354
354,20210322,6.16,6.23,6.2,6.13,95135.84,0.3236
353,20210323,6.19,6.24,6.12,6.08,126063.25,-1.2903
352,20210324,6.1,6.14,6.06,6.03,93451.77,-0.9804
351,20210325,6.07,6.12,6.06,6.04,82066.86,0.0
350,20210326,6.06,6.17,6.16,6.06,90237.09,1.6502
349,20210329,6.15,6.53,6.5,6.09,488062.9,5.5195
348,20210330,6.5,6.54,6.42,6.4,193084.7,-1.2308
347,20210331,6.44,6.45,6.4,6.32,129767.3,-0.3115
346,20210401,6.4,6.44,6.41,6.35,110366.73,0.1563
345,20210402,6.41,6.44,6.28,6.27,169072.28,-2.0281
344,20210406,6.3,6.46,6.4,6.3,132136.79,1.9108
343,20210407,6.44,6.5,6.43,6.38,133954.79,0.4688
342,20210408,6.43,6.43,6.3,6.28,155681.22,-2.0218
