,trade_date,open,high,close,low,vol,pct_chg
404,20210104,4.15,4.3,4.05,4.0,188297.09,3.5806
403,20210105,4.06,4.11,4.05,3.97,98231.1,0.0
402,20210106,4.07,4.2,4.14,4.03,113265.0,2.2222
401,20210107,4.08,4.2,3.99,3.99,96503.01,-3.6232
400,20210108,3.97,4.02,3.87,3.84,87903.0,-3.0075
399,20210111,3.92,4.02,3.85,3.71,100980.0,-0.5168
398,20210112,3.84,3.87,3.81,3.79,46886.0,-1.039
397,20210113,3.81,3.85,3.76,3.73,38296.59,-1.3123
396,20210114,3.76,3.85,3.81,3.76,34233.0,1.3298
395,20210115,3.81,3.84,3.82,3.78,25822.0,0.2625
394,20210118,3.81,3.89,3.81,3.76,35006.0,-0.2618
393,20210119,3.79,3.82,3.8,3.76,37144.28,-0.2625
392,20210120,3.8,3.81,3.75,3.74,38900.28,-1.3158
391,20210121,3.76,3.8,3.74,3.73,38925.0,-0.2667
390,20210122,3.73,3.88,3.78,3.64,62692.37,1.0695
389,20210125,3.79,3.81,3.75,3.72,57430.0,-0.7937
388,20210126,3.75,3.77,3.73,3.68,28292.0,-0.5333
387,20210127,3.76,3.85,3.79,3.75,39085.0,1.6086
386,20210128,3.78,3.81,3.81,3.76,27210.0,0.5277
385,20210129,3.79,3.81,3.72,3.72,38150.0,-2.3622
384,20210201,3.69,3.75,3.72,3.64,33763.0,0.0
383,20210202,3.72,3.72,3.65,3.61,48990.0,-1.8817
382,20210203,3.62,3.72,3.67,3.56,44858.0,0.5479
381,20210204,3.67,3.74,3.59,3.51,52019.0,-2.1798
380,20210205,3.62,3.88,3.71,3.6,77263.41,3.3426
379,20210208,3.67,3.78,3.71,3.67,52751.41,0.0
378,20210209,3.68,3.76,3.7,3.68,47552.0,-0.2695
377,20210210,3.72,3.72,3.68,3.68,31783.0,-0.5405
376,20210218,3.71,3.74,3.69,3.65,49913.66,0.2717
375,20210219,3.68,3.74,3.72,3.66,73099.01,0.813
374,20210222,3.72,3.8,3.75,3.7,132149.66,0.8065
373,20210223,3.74,3.74,3.66,3.64,95783.0,-2.4
372,20210224,3.66,3.67,3.61,3.59,53838.0,-1.3661
371,20210225,3.63,3.64,3.58,3.57,55415.01,-0.831
370,20210226,3.55,3.64,3.59,3.54,52255.0,0.2793
369,20210301,3.61,3.64,3.63,3.6,38715.0,1.1142
368,20210302,3.64,3.65,3.57,3.56,34091.0,-1.6529
367,20210303,3.59,3.61,3.6,3.57,30781.25,0.8403
366,20210304,3.59,3.68,3.62,3.58,60105.0,0.5556
365,20210305,3.61,3.63,3.63,3.58,51901.57,0.2762
364,20210308,3.64,3.68,3.66,3.62,73537.04,0.8264
363,20210309,3.68,4.03,4.03,3.68,242597.8,10.1093
362,20210310,4.2,4.43,4.09,3.9,623759.58,1.4888
361,20210311,3.83,4.0,3.95,3.71,384226.25,-3.423
360,20210312,3.84,4.05,3.87,3.8,260494.25,-2.0253
359,20210315,3.85,4.16,4.0,3.84,302102.79,3.3592
358,20210316,3.94,4.17,4.17,3.89,390669.46,4.25
357,20210317,4.11,4.14,4.02,3.99,223741.01,-3.5971
356,20210318,4.0,4.1,4.01,3.97,173025.0,-0.2488
355,20210319,3.95,4.02,3.93,3.87,175337.0,-1.995
354,20210322,3.92,4.21,4.15,3.9,310756.02,5.598
353,20210323,4.11,4.35,4.16,4.04,365911.05,0.241
352,20210324,4.23,4.58,4.58,4.2,791943.78,10.0962
351,20210325,4.43,5.0,4.37,4.26,915462.1,-4.5852
350,20210326,4.32,4.74,4.52,4.32,691938.0,3.4325
349,20210329,4.4,4.56,4.35,4.26,463547.16,-3.7611
348,20210330,4.3,4.3,4.07,4.05,380103.24,-6.4368
347,20210331,4.07,4.16,4.1,4.01,232321.49,0.7371
346,20210401,4.03,4.04,4.01,3.93,204459.04,-2.1951
345,20210402,3.97,4.18,4.17,3.93,285805.15,3.99
344,20210406,4.28,4.4,4.28,4.18,290465.4,2.6379
343,20210407,4.28,4.32,4.23,4.2,156456.0,-1.1682
342,20210408,4.2,4.25,4.12,4.08,130422.0,-2.6005
341,20210409,4.07,4.22,4.12,4.07,88262.0,0.0
340,20210412,4.09,4.15,4.05,4.03,96013.0,-1.699
339,20210413,4.05,4.1,4.04,3.99,66026.04,-0.2469
338,20210414,4.04,4.44,4.44,3.99,326914.07,9.901
337,20210415,4.43,4.6,4.4,4.33,382719.01,-0.9009
336,20210416,4.39,4.52,4.5,4.32,356480.07,2.2727
335,20210419,4.45,4.85,4.57,4.44,422829.0,1.5556
334,20210420,4.57,4.69,4.54,4.48,310645.04,-0.6565
333,20210421,4.64,4.78,4.45,4.4,346645.0,-1.9824
332,20210422,4.45,4.55,4.5,4.32,275591.01,1.1236
331,20210423,4.45,4.65,4.38,4.34,270076.01,-2.6667
330,20210426,4.24,4.4,4.4,4.24,169170.02,0.4566
329,20210427,4.32,4.41,4.33,4.2,159448.01,-1.5909
328,20210428,4.32,4.55,4.39,4.29,273446.8,1.3857
327,20210429,4.39,4.44,4.33,4.28,151449.0,-1.3667
326,20210430,4.36,4.39,4.2,4.12,204668.04,-3.0023
325,20210506,4.3,4.3,4.1,4.05,175026.81,-2.381
324,20210507,4.09,4.14,4.07,4.02,128423.85,-0.7317
323,20210510,4.09,4.18,4.14,4.04,99856.0,1.7199
322,20210511,4.18,4.18,4.08,4.07,100159.0,-1.4493
321,20210512,4.09,4.18,4.15,4.08,77778.04,1.7157
320,20210513,4.15,4.18,4.05,4.01,129533.0,-2.4096
