,trade_date,open,high,close,low,vol,pct_chg
402,20210104,6.27,6.27,6.27,6.27,8509.0,-10.043
401,20210105,5.64,5.75,5.64,5.64,714357.66,-10.0478
400,20210106,5.3,5.34,5.08,5.08,236937.05,-9.9291
399,20210107,4.57,4.57,4.57,4.57,65095.0,-10.0394
398,20210108,4.11,4.11,4.11,4.11,36074.0,-10.0656
397,20210111,3.7,4.11,3.7,3.7,694823.75,-9.9757
396,20210112,3.49,3.54,3.33,3.33,418316.38,-10.0
395,20210113,3.37,3.45,3.25,3.21,422851.22,-2.4024
394,20210114,3.17,3.24,3.11,3.01,393731.55,-4.3077
393,20210115,3.12,3.38,3.24,3.08,372272.11,4.1801
392,20210118,3.28,3.43,3.31,3.21,305287.0,2.1605
391,20210119,3.35,3.43,3.41,3.23,288564.18,3.0211
390,20210120,3.38,3.43,3.31,3.3,202277.0,-2.9326
389,20210121,3.31,3.4,3.34,3.28,171319.5,0.9063
388,20210122,3.31,3.34,3.19,3.17,179773.48,-4.491
387,20210125,3.15,3.17,3.01,3.0,219203.6,-5.6426
386,20210126,2.95,3.1,3.1,2.91,192547.96,2.99
385,20210127,3.06,3.06,3.0,2.98,160792.25,-3.2258
384,20210128,2.94,3.04,2.88,2.87,248591.51,-4.0
383,20210129,2.87,2.88,2.64,2.59,515005.3,-8.3333
382,20210201,2.59,2.84,2.72,2.56,432805.5,3.0303
381,20210202,2.71,2.75,2.57,2.57,247443.44,-5.5147
380,20210203,2.55,2.83,2.76,2.55,485667.68,7.393
379,20210204,2.67,2.68,2.59,2.55,261098.2,-6.1594
378,20210205,2.57,2.69,2.57,2.54,159271.15,-0.7722
377,20210208,2.51,2.61,2.56,2.47,137937.44,-0.3891
376,20210209,2.56,2.56,2.52,2.45,139774.0,-1.5625
375,20210210,2.49,2.54,2.52,2.49,103393.0,0.0
374,20210218,2.53,2.77,2.77,2.53,244068.7,9.9206
373,20210219,2.79,3.05,3.05,2.74,395737.1,10.1083
372,20210222,3.14,3.36,3.36,3.14,183718.63,10.1639
371,20210223,3.65,3.65,3.25,3.15,687984.21,-3.2738
370,20210224,3.12,3.37,3.35,3.1,377941.94,3.0769
369,20210225,3.3,3.69,3.69,3.21,587350.53,10.1493
368,20210226,3.7,4.06,4.06,3.43,657885.38,10.0271
367,20210301,4.05,4.47,4.35,3.85,824977.04,7.1429
366,20210302,3.97,4.18,3.92,3.92,378366.25,-9.8851
365,20210303,3.53,4.3,4.19,3.53,771778.1,6.8878
364,20210304,3.77,4.06,3.77,3.77,688157.58,-10.0239
363,20210305,3.67,3.95,3.62,3.46,481727.69,-3.9788
362,20210308,3.65,3.98,3.98,3.46,658033.91,9.9448
361,20210309,4.0,4.38,4.38,3.98,511747.19,10.0503
360,20210310,4.39,4.82,4.37,4.07,981915.69,-0.2283
359,20210311,3.95,4.35,4.17,3.94,644663.08,-4.5767
358,20210312,4.21,4.44,4.27,4.0,590227.94,2.3981
357,20210315,4.11,4.26,4.06,4.0,382986.23,-4.918
356,20210316,4.07,4.37,4.27,3.85,569928.22,5.1724
355,20210317,4.16,4.7,4.7,4.1,932430.28,10.0703
354,20210318,4.71,4.98,4.45,4.43,843354.9,-5.3191
353,20210319,4.42,4.66,4.48,4.17,603784.21,0.6742
352,20210322,4.34,4.45,4.29,4.25,402744.53,-4.2411
351,20210323,4.25,4.29,4.14,4.13,314963.5,-3.4965
350,20210324,4.0,4.07,3.75,3.74,402885.89,-9.4203
349,20210325,3.77,4.0,3.81,3.75,269625.74,1.6
348,20210326,3.81,3.9,3.85,3.65,239859.21,1.0499
347,20210329,3.85,3.86,3.72,3.71,189526.67,-3.3766
346,20210330,3.72,3.72,3.52,3.5,248503.39,-5.3763
345,20210331,3.5,3.87,3.87,3.5,324225.89,9.9432
344,20210401,3.75,4.2,4.0,3.75,624950.69,3.3592
343,20210402,3.92,4.3,4.05,3.92,469960.53,1.25
342,20210406,3.98,4.02,3.96,3.81,328967.04,-2.2222
341,20210407,4.0,4.2,4.08,3.86,386767.0,3.0303
340,20210408,4.07,4.11,3.99,3.92,283277.03,-2.2059
339,20210409,3.9,3.98,3.88,3.87,160808.0,-2.7569
338,20210412,3.86,3.97,3.88,3.83,137494.0,0.0
337,20210413,3.87,3.88,3.73,3.72,150544.0,-3.866
336,20210414,3.73,3.81,3.8,3.73,90438.5,1.8767
335,20210415,3.76,3.79,3.69,3.66,110517.0,-2.8947
334,20210416,3.69,3.94,3.86,3.69,193220.48,4.607
333,20210419,3.86,4.19,4.06,3.86,328939.51,5.1813
332,20210420,4.06,4.11,3.95,3.94,198650.85,-2.7094
331,20210421,3.93,3.94,3.83,3.82,121966.0,-3.038
330,20210422,3.82,3.91,3.81,3.77,108995.15,-0.5222
329,20210423,3.77,3.83,3.73,3.7,140721.32,-2.0997
328,20210426,3.75,3.9,3.86,3.75,142653.8,3.4853
327,20210427,3.87,3.88,3.71,3.69,134437.0,-3.886
326,20210428,3.71,4.05,3.94,3.63,326022.42,6.1995
325,20210430,3.74,3.74,3.74,3.74,16447.0,-5.0761
324,20210506,3.55,3.55,3.55,3.55,13764.0,-5.0802
323,20210507,3.37,3.37,3.37,3.37,21950.0,-5.0704
322,20210510,3.2,3.2,3.2,3.2,35046.0,-5.0445
321,20210511,3.04,3.36,3.36,3.04,262507.93,5.0
320,20210512,3.5,3.53,3.53,3.4,72302.18,5.0595
319,20210513,3.71,3.71,3.71,3.71,13381.28,5.0992
318,20210514,3.9,3.9,3.8,3.71,258689.43,2.4259
317,20210517,3.79,3.81,3.62,3.61,108674.87,-4.7368
316,20210518,3.51,3.68,3.54,3.5,52324.0,-2.2099
315,20210519,3.57,3.63,3.57,3.55,39116.74,0.8475
314,20210520,3.58,3.64,3.6,3.39,60458.89,0.8403
313,20210521,3.58,3.61,3.53,3.53,33229.0,-1.9444
312,20210524,3.5,3.69,3.67,3.48,47565.61,3.966
311,20210525,3.6,3.68,3.63,3.6,46528.52,-1.0899
310,20210526,3.64,3.68,3.65,3.6,31933.88,0.551
309,20210527,3.68,3.75,3.69,3.6,58171.32,1.0959
308,20210528,3.69,3.74,3.68,3.65,37481.4,-0.271
307,20210531,3.68,3.75,3.7,3.58,54822.35,0.5435
306,20210601,3.7,3.73,3.7,3.61,39809.5,0.0
305,20210602,3.7,3.71,3.66,3.64,29560.28,-1.0811
304,20210603,3.64,3.65,3.65,3.57,31757.28,-0.2732
303,20210604,3.64,3.68,3.65,3.61,19126.85,0.0
302,20210607,3.64,3.64,3.62,3.58,27521.51,-0.8219
