,trade_date,open,high,close,low,vol,pct_chg
404,20210104,6.3,6.39,6.34,6.29,89576.23,0.3165
403,20210105,6.34,6.8,6.53,6.16,237561.92,2.9968
402,20210106,6.49,6.49,6.34,6.31,117541.82,-2.9096
401,20210107,6.27,6.43,6.22,6.2,99723.75,-1.8927
400,20210108,6.16,6.29,6.23,6.11,63138.96,0.1608
399,20210111,6.22,6.23,6.1,6.05,76549.79,-2.0867
398,20210112,6.06,6.17,6.12,6.06,55816.4,0.3279
397,20210113,6.13,6.2,6.11,6.05,82532.83,-0.1634
396,20210114,6.19,6.3,6.21,6.18,101772.43,1.6367
395,20210115,6.18,6.2,6.15,6.11,61891.48,-0.9662
394,20210118,6.17,6.24,6.19,6.13,65433.4,0.6504
393,20210119,6.18,6.21,6.13,6.12,65077.8,-0.9693
392,20210120,6.16,6.17,6.12,6.08,62858.36,-0.1631
391,20210121,6.11,6.16,6.12,6.08,73163.11,0.0
390,20210122,6.12,6.18,6.11,6.05,70686.17,-0.1634
389,20210125,6.09,6.09,5.97,5.96,95560.2,-2.2913
388,20210126,5.95,6.01,5.81,5.75,105089.71,-2.6801
387,20210127,5.8,5.84,5.74,5.71,66305.66,-1.2048
386,20210128,5.71,5.71,5.54,5.52,86721.68,-3.4843
385,20210129,5.57,5.59,5.39,5.34,81807.9,-2.7076
384,20210201,5.39,5.39,5.35,5.26,64443.44,-0.7421
383,20210202,5.36,5.75,5.58,5.36,150592.45,4.2991
382,20210203,5.57,5.57,5.4,5.38,83781.36,-3.2258
381,20210204,5.4,5.41,5.23,5.16,82617.89,-3.1481
380,20210205,5.23,5.32,5.21,5.2,61337.13,-0.3824
379,20210208,5.26,5.36,5.33,5.26,63240.73,2.3033
378,20210209,5.33,5.45,5.4,5.28,71190.48,1.3133
377,20210210,5.43,5.49,5.48,5.38,76223.46,1.4815
376,20210218,5.59,5.67,5.64,5.59,105174.19,2.9197
375,20210219,5.65,5.75,5.75,5.61,119555.91,1.9504
374,20210222,5.75,6.09,5.92,5.75,213128.81,2.9565
373,20210223,5.9,5.95,5.82,5.79,111665.55,-1.6892
372,20210224,5.83,5.87,5.74,5.7,85827.58,-1.3746
371,20210225,5.79,5.84,5.75,5.72,83253.18,0.1742
370,20210226,5.69,5.73,5.62,5.59,92595.93,-2.2609
369,20210301,5.66,5.7,5.68,5.62,65154.44,1.0676
368,20210302,5.69,5.7,5.61,5.56,81295.32,-1.2324
367,20210303,5.6,5.66,5.65,5.56,68739.02,0.713
366,20210304,5.65,5.79,5.71,5.64,101164.64,1.0619
365,20210305,5.7,5.78,5.78,5.66,92788.79,1.2259
364,20210308,5.8,5.85,5.7,5.67,92615.17,-1.3841
363,20210309,5.7,5.87,5.75,5.57,160919.12,0.8772
362,20210310,5.75,5.75,5.58,5.56,110170.23,-2.9565
361,20210311,5.61,5.65,5.64,5.5,62161.96,1.0753
360,20210312,5.62,5.76,5.7,5.57,84392.8,1.0638
359,20210315,5.71,6.1,5.91,5.71,253238.33,3.6842
358,20210316,5.91,6.05,5.97,5.76,165928.67,1.0152
357,20210317,5.96,6.35,6.15,5.95,266056.86,3.0151
356,20210318,6.12,6.2,6.05,6.0,182940.92,-1.626
355,20210319,6.0,6.1,6.01,5.97,137056.83,-0.6612
354,20210322,5.98,6.06,6.01,5.95,124069.3,0.0
353,20210323,6.0,6.01,5.84,5.82,120332.44,-2.8286
352,20210324,5.84,5.87,5.77,5.76,69445.08,-1.1986
351,20210325,5.76,5.84,5.76,5.75,49766.52,-0.1733
350,20210326,5.76,5.83,5.82,5.75,56630.63,1.0417
349,20210329,5.82,5.85,5.83,5.78,65955.15,0.1718
