,trade_date,open,high,close,low,vol,pct_chg
398,20210104,7.46,7.5,7.47,7.36,27198.39,0.134
397,20210105,7.45,7.64,7.55,7.4,53741.61,1.071
396,20210106,7.51,7.68,7.66,7.45,53254.59,1.457
395,20210107,7.61,7.64,7.42,7.38,47959.46,-3.1332
394,20210108,7.42,7.45,7.4,7.32,21294.82,-0.2695
393,20210111,7.38,7.39,7.24,7.21,31188.43,-2.1622
392,20210112,7.22,7.37,7.32,7.19,28535.56,1.105
391,20210113,7.29,7.36,7.28,7.11,36701.54,-0.5464
390,20210114,7.25,7.38,7.35,7.19,34159.19,0.9615
389,20210115,7.34,7.39,7.37,7.29,24020.23,0.2721
388,20210118,7.36,7.37,7.3,7.27,37554.85,-0.9498
387,20210119,7.27,7.31,7.24,7.2,31598.74,-0.8219
386,20210120,7.24,7.27,7.17,7.13,40569.0,-0.9669
385,20210121,7.16,7.2,7.2,7.13,47657.73,0.4184
384,20210122,7.17,7.19,7.08,7.07,38638.02,-1.6667
383,20210125,7.06,7.1,7.04,7.01,28852.0,-0.565
382,20210126,6.98,7.04,7.01,6.98,24588.12,-0.4261
381,20210127,7.0,7.03,6.98,6.96,22676.48,-0.428
380,20210128,6.95,6.97,6.91,6.9,23833.32,-1.0029
379,20210129,6.91,6.92,6.82,6.78,31884.24,-1.3025
378,20210201,6.82,6.91,6.87,6.78,21558.07,0.7331
377,20210202,6.85,6.85,6.8,6.77,31581.0,-1.0189
376,20210203,6.78,6.78,6.57,6.55,42775.12,-3.3824
375,20210204,6.56,6.57,6.36,6.18,46016.65,-3.1963
374,20210205,6.35,6.44,6.37,6.31,29969.0,0.1572
373,20210208,6.37,6.54,6.47,6.37,19701.31,1.5699
372,20210209,6.48,6.51,6.5,6.42,17458.56,0.4637
371,20210210,6.5,6.53,6.5,6.45,13760.57,0.0
370,20210218,6.57,6.68,6.64,6.54,16466.5,2.1538
369,20210219,6.65,6.84,6.84,6.6,26912.21,3.012
368,20210222,6.85,6.97,6.86,6.8,40533.25,0.2924
367,20210223,6.86,6.87,6.8,6.78,20007.51,-0.8746
366,20210224,6.79,6.84,6.76,6.74,18410.52,-0.5882
365,20210225,6.8,6.88,6.84,6.76,20184.72,1.1834
364,20210226,6.8,6.89,6.87,6.77,16773.83,0.4386
363,20210301,6.87,6.99,6.99,6.87,24439.54,1.7467
362,20210302,7.0,7.04,6.94,6.92,25286.26,-0.7153
361,20210303,6.95,7.05,7.04,6.94,22086.5,1.4409
360,20210304,7.0,7.08,7.03,6.98,20687.9,-0.142
359,20210305,7.01,7.15,7.08,6.98,31111.26,0.7112
358,20210308,7.1,7.18,7.18,7.08,37495.85,1.4124
357,20210309,7.17,7.17,6.96,6.86,39403.28,-3.0641
356,20210310,7.03,7.05,6.85,6.84,26042.25,-1.5805
355,20210311,6.9,7.05,7.02,6.9,17426.52,2.4818
354,20210312,7.01,7.18,7.13,6.96,30006.56,1.567
353,20210315,7.09,7.22,7.13,7.05,23742.54,0.0
352,20210316,7.15,7.18,7.13,7.1,17786.5,0.0
351,20210317,7.14,7.17,7.1,7.07,21591.0,-0.4208
350,20210318,7.06,7.14,7.06,7.06,16967.0,-0.5634
349,20210319,7.05,7.12,7.03,6.96,20293.5,-0.4249
348,20210322,7.06,7.2,7.2,7.0,33349.4,2.4182
347,20210323,7.16,7.2,7.11,7.09,30512.5,-1.25
346,20210324,7.16,7.28,7.21,7.15,43786.9,1.4065
345,20210325,7.22,7.23,7.1,7.07,30153.1,-1.5257
344,20210326,7.11,7.16,7.11,7.05,23402.0,0.1408
343,20210329,7.5,7.82,7.82,7.49,134593.69,9.9859
342,20210330,8.6,8.6,8.6,8.6,45898.04,9.9744
341,20210331,9.46,9.46,9.46,9.01,819025.8,10.0
340,20210401,9.3,10.41,10.41,9.1,630431.2,10.0423
