,trade_date,open,high,close,low,vol,pct_chg
404,20210104,10.93,11.15,11.03,10.82,69102.4,1.0073
403,20210105,11.1,11.1,10.52,10.43,113990.22,-4.6238
402,20210106,10.47,10.47,10.25,10.19,63363.01,-2.5665
401,20210107,10.25,10.39,10.22,10.08,46583.68,-0.2927
400,20210108,10.21,10.21,10.04,9.9,41184.97,-1.7613
399,20210111,10.1,10.29,10.26,9.75,108380.49,2.1912
398,20210112,10.29,10.45,10.37,10.13,86484.01,1.0721
397,20210113,10.36,10.37,10.15,9.97,47638.07,-2.1215
396,20210114,10.16,10.34,10.16,10.01,53152.16,0.0985
395,20210115,10.1,10.26,10.17,10.08,29625.24,0.0984
394,20210118,10.11,10.24,10.05,10.02,38671.0,-1.1799
393,20210119,10.05,10.14,10.06,9.97,27052.0,0.0995
392,20210120,10.11,10.12,10.0,9.99,28383.22,-0.5964
391,20210121,10.0,10.15,9.94,9.85,48803.25,-0.6
390,20210122,9.88,10.01,9.95,9.42,108454.91,0.1006
389,20210125,9.9,9.95,9.48,9.45,61485.24,-4.7236
388,20210126,9.48,9.48,8.94,8.94,57122.22,-5.6962
387,20210127,8.95,9.02,8.8,8.77,37602.5,-1.566
386,20210128,8.8,8.87,8.56,8.53,37145.7,-2.7273
385,20210129,8.57,8.66,8.22,8.1,57677.44,-3.972
384,20210201,8.24,8.4,8.36,8.15,32861.02,1.7032
383,20210202,8.4,8.5,8.3,8.22,25418.0,-0.7177
382,20210203,8.31,8.35,8.04,8.03,30151.0,-3.1325
381,20210204,7.98,8.07,7.88,7.75,36604.02,-1.99
380,20210205,7.81,8.07,7.81,7.78,37644.0,-0.8883
379,20210208,7.79,7.84,7.66,7.6,46687.0,-1.9206
378,20210209,7.68,7.73,7.72,7.58,31532.56,0.7833
377,20210210,7.73,8.15,8.0,7.7,62946.96,3.6269
376,20210218,8.04,8.42,8.38,8.04,54003.45,4.75
375,20210219,8.44,8.77,8.71,8.32,54288.0,3.9379
374,20210222,8.7,9.08,8.9,8.54,77640.3,2.1814
373,20210223,8.92,9.06,8.73,8.68,44945.38,-1.9101
372,20210224,8.72,8.97,8.81,8.72,42102.0,0.9164
371,20210225,8.95,8.95,8.83,8.71,28630.5,0.227
370,20210226,8.7,9.15,8.96,8.64,64028.0,1.4723
369,20210301,8.96,9.08,8.98,8.83,45317.72,0.2232
368,20210302,8.98,9.36,9.18,8.93,65519.94,2.2272
367,20210303,9.2,9.28,9.16,9.01,39447.0,-0.2179
366,20210304,9.09,9.25,9.15,9.0,43767.0,-0.1092
