,trade_date,open,high,close,low,vol,pct_chg
404,20210104,7.05,7.3,7.26,7.03,262376.18,2.9787
403,20210105,7.32,7.42,7.25,7.14,302430.32,-0.1377
402,20210106,7.21,7.39,7.29,7.16,220773.37,0.5517
401,20210107,7.26,7.43,7.41,7.21,328920.6,1.6461
400,20210108,7.34,7.38,7.21,7.17,168304.48,-2.6991
399,20210111,7.21,7.23,6.55,6.49,360659.81,-9.154
398,20210112,6.5,6.57,6.45,6.35,173460.39,-1.5267
397,20210113,6.45,6.46,6.19,6.1,181604.9,-4.031
396,20210114,6.16,6.24,6.19,6.14,82210.82,0.0
395,20210115,6.23,6.29,6.23,6.19,76315.5,0.6462
394,20210118,6.24,6.3,6.28,6.22,77569.16,0.8026
393,20210119,6.29,6.36,6.31,6.21,83810.0,0.4777
392,20210120,6.3,6.3,6.26,6.22,56680.56,-0.7924
391,20210121,6.27,6.31,6.28,6.23,74700.09,0.3195
390,20210122,6.28,6.28,6.19,6.17,71120.64,-1.4331
389,20210125,6.16,6.16,6.03,5.92,123484.2,-2.5848
388,20210126,6.0,6.03,5.88,5.88,84773.05,-2.4876
387,20210127,5.87,5.93,5.89,5.8,61405.87,0.1701
386,20210128,5.87,5.95,5.86,5.8,59920.68,-0.5093
385,20210129,5.87,5.9,5.63,5.57,98356.97,-3.9249
384,20210201,5.37,5.69,5.6,5.37,67715.99,-0.5329
383,20210202,5.58,5.64,5.52,5.48,58545.39,-1.4286
382,20210203,5.52,5.59,5.51,5.43,60365.84,-0.1812
381,20210204,5.51,5.51,5.34,5.24,80583.48,-3.0853
380,20210205,5.34,5.55,5.39,5.32,72123.64,0.9363
379,20210208,5.39,5.58,5.54,5.39,75368.02,2.7829
378,20210209,5.52,5.62,5.61,5.5,54779.04,1.2635
377,20210210,5.62,5.66,5.61,5.58,54579.16,0.0
376,20210218,5.64,5.79,5.78,5.63,77800.82,3.0303
375,20210219,5.79,5.97,5.96,5.78,105734.77,3.1142
374,20210222,6.12,6.32,6.24,6.12,211223.29,4.698
373,20210223,6.26,6.27,6.02,5.98,135243.81,-3.5256
372,20210224,6.06,6.11,6.05,5.97,96283.89,0.4983
371,20210225,6.03,6.07,6.03,5.96,68808.6,-0.3306
370,20210226,6.01,6.06,6.01,5.97,60472.44,-0.3317
369,20210301,6.05,6.07,6.05,5.97,70585.84,0.6656
368,20210302,6.08,6.66,6.51,5.97,358926.97,7.6033
367,20210303,6.39,6.53,6.44,6.26,240430.0,-1.0753
366,20210304,6.32,6.43,6.35,6.27,125990.99,-1.3975
365,20210305,6.33,6.52,6.4,6.28,135739.92,0.7874
364,20210308,6.38,6.39,6.18,6.13,121995.36,-3.4375
363,20210309,6.18,6.18,6.02,5.92,96018.95,-2.589
362,20210310,6.05,6.11,6.0,5.98,52222.0,-0.3322
361,20210311,5.98,6.06,6.05,5.9,60337.63,0.8333
360,20210312,6.05,6.14,6.01,5.87,93050.59,-0.6612
359,20210315,6.01,6.04,6.01,5.97,50136.22,0.0
358,20210316,6.02,6.12,6.08,5.99,60222.75,1.1647
357,20210317,6.09,6.26,6.21,6.05,103319.29,2.1382
356,20210318,6.17,6.19,6.08,6.05,78612.99,-2.0934
355,20210319,6.06,6.1,6.02,6.0,52524.68,-0.9868
354,20210322,6.03,6.08,6.06,6.0,48693.0,0.6645
353,20210323,6.05,6.22,6.1,6.01,99244.37,0.6601
352,20210324,6.06,6.15,6.11,6.06,76745.46,0.1639
351,20210325,6.1,6.22,6.12,6.09,84916.23,0.1637
350,20210326,6.08,6.14,6.1,6.07,60202.97,-0.3268
349,20210329,6.09,6.12,6.02,6.01,77103.66,-1.3115
348,20210330,6.0,6.02,5.85,5.85,86908.07,-2.8239
347,20210331,5.9,5.9,5.87,5.77,44407.36,0.3419
346,20210401,5.84,5.95,5.9,5.84,32815.12,0.5111
345,20210402,5.9,5.92,5.9,5.88,35061.0,0.0
344,20210406,5.9,5.94,5.91,5.9,35041.63,0.1695
343,20210407,5.92,5.95,5.9,5.87,41267.0,-0.1692
342,20210408,5.92,5.93,5.88,5.86,43841.01,-0.339
341,20210409,5.88,5.89,5.84,5.82,32107.0,-0.6803
340,20210412,5.84,5.92,5.83,5.83,45940.33,-0.1712
339,20210413,5.83,5.89,5.86,5.71,54303.23,0.5146
338,20210414,5.84,5.86,5.83,5.76,35345.99,-0.5119
337,20210415,5.83,5.83,5.81,5.77,35715.72,-0.3431
336,20210416,5.79,5.9,5.89,5.78,46251.6,1.3769
335,20210419,5.9,5.92,5.89,5.87,51241.0,0.0
334,20210420,5.9,5.95,5.83,5.83,62717.52,-1.0187
333,20210421,5.82,5.85,5.8,5.78,28839.78,-0.5146
332,20210422,5.82,5.83,5.82,5.78,32601.0,0.3448
331,20210423,5.83,5.83,5.78,5.78,31350.79,-0.6873
330,20210426,5.77,5.81,5.68,5.68,52492.83,-1.7301
329,20210427,5.68,5.7,5.57,5.55,52832.96,-1.9366
328,20210428,5.56,5.62,5.6,5.53,31598.5,0.5386
327,20210429,5.63,5.63,5.57,5.57,34100.91,-0.5357
326,20210430,5.56,5.62,5.52,5.5,32827.91,-0.8977
325,20210506,5.52,5.68,5.65,5.52,59419.58,2.3551
324,20210507,5.67,5.87,5.8,5.63,95659.27,2.6549
323,20210510,5.77,5.8,5.74,5.69,57293.01,-1.0345
322,20210511,5.74,5.86,5.8,5.71,49422.26,1.0453
321,20210512,5.78,6.02,5.94,5.78,125085.25,2.4138
320,20210513,5.89,5.93,5.9,5.83,73390.18,-0.6734
319,20210514,5.92,5.93,5.89,5.84,59330.68,-0.1695
318,20210517,5.9,5.92,5.84,5.81,47981.67,-0.8489
317,20210518,5.84,5.89,5.86,5.82,32382.51,0.3425
316,20210519,5.86,5.86,5.81,5.79,33619.0,-0.8532
